"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYG1",9.56378655678118,-1.87014437736036,1.3943294796875,-1.34124997326994,0.179839306231897,NA
"SP1",143.410585776183,-1.55106844575256,0.703958022271779,-2.20335360444794,0.027569835546892,0.232387634086134
"LOC120750608",40.2790034972418,-1.11087329335293,0.812497575617437,-1.36723274836697,0.171552363630168,0.488958191757308
"LOC120757941",15.3494325208196,3.41415571931819,4.18395452808408,0.816011669438865,0.414493461513552,NA
"PAFAH1B2",161.683249462757,0.767779336450504,0.806851079756156,0.951575025074689,0.341312552613232,0.664650495550794
"SIDT2",442.314387340963,-1.7604361896617,0.543663763875076,-3.23809734368504,0.00120329744898037,0.0649593480820982
"TAGLN",37.257759201284,-2.44165651318726,1.09217767343459,-2.23558544784105,0.0253789386995267,0.225072696879097
"PCSK7",144.811409296472,-1.26968474806217,0.626041162556594,-2.02811703766745,0.0425483044256923,0.27687747340417
"LOC120750607",34.9703397781108,0.272567144863583,0.934334060728763,0.291723438457317,0.770498087043122,0.910280717309531
"LOC131378794",7.20144750925038,-2.03260429223888,1.48667303594518,-1.36721676057481,0.171557373361684,NA
"LOC120766032",8.43079123251745,-1.11211366689056,1.32251115038287,-0.840910616571056,0.400398010374777,NA
"LOC120747632",30.0347278887626,-3.24002699041473,1.20283265707586,-2.69366397009156,0.00706713743772974,0.13288577014088
"LOC120747636",7.80584624375816,-0.101293420635818,1.49323126619183,-0.0678350520305845,0.945916940530343,NA
"PRKAG1",112.677161635231,-1.85470886313823,0.739931836620417,-2.50659421766398,0.0121900565095523,0.162629925816926
"KMT2D",76.7004972201217,0.51491715412376,0.681376188942382,0.755701714383363,0.449828055970042,0.742319464805104
"LOC120765350",80.7777706275889,-0.186462945588789,0.849742346775904,-0.219434686639152,0.826311452354494,0.932258630756023
"PCBP2",291.118213059105,-0.671464375888863,0.574414883666156,-1.16895365176351,0.242422305489696,0.575086859928606
"SNAPIN",42.8190581110057,0.0930539175807621,0.732906950555623,0.126965527493247,0.898967682767633,0.96299275645047
"CZH9orf40",117.553959368355,0.863306881765618,0.705017377980256,1.22451858454728,0.220756659887722,0.550731937201195
"PLEKHG3",57.0554155530427,-2.53652481258822,1.12914177960056,-2.24641834924002,0.0246772241005872,0.220830818253504
"SPTB",23399.061484198,-0.436900411587971,0.548059185296696,-0.797177427747064,0.425347993417826,0.728042472154682
"CCT3",325.701738884965,-0.76438417204624,0.534513262638158,-1.43005651211258,0.152700800238205,0.467260639483653
"LOC120764362",167.692675490606,-0.54485600767754,0.948918006670566,-0.574186603950384,0.565841533411084,0.810549229024428
"THOC5",34.7188386556086,-0.0543437502459979,0.777431409472285,-0.0699016653866429,0.944271927587091,0.980961006886596
"LOC120764604",9.32775801377061,-1.17040235573109,1.19632249515371,-0.978333484885873,0.327909413880766,NA
"LOC131378795",9.04595387881843,4.06110700049557,2.15977874372978,1.8803347390494,0.0600624716499061,NA
"LOC120765797",90.9130275608261,-1.92151428043895,0.84614312386263,-2.27090928975144,0.0231524697780444,0.21608009512302
"RHOG",8.69129998216282,1.96572072621204,1.91533311966347,1.02630748982058,0.304746667976911,NA
"ZDHHC18",778.120134493197,-1.11690267870437,0.406808213263768,-2.74552637407099,0.00604139112815693,0.124806720082284
"SERPING1",168.137366541162,-0.574203951763004,1.67334157766802,-0.34314808131596,0.731487060937785,0.894162204937659
"LOC120754801",31.7738718531723,-0.789144847400297,1.56596881848503,-0.503933946886465,0.614307794479361,0.836169092867433
"YPEL4",13.3660859728717,-1.40580414239174,1.66785101165221,-0.842883526508235,0.399293587582085,NA
"LOC120750287",35.3141789386699,-1.01363747941571,1.17812491778732,-0.860382005432375,0.389578501759197,0.705881163318226
"LOC120762097",710.000307955377,-1.03162054067426,0.503265511823087,-2.04985344006029,0.0403787348706647,0.272038551311364
"LOC120760311",9.43944899519422,-0.373594548053582,1.93031841002958,-0.19354037453741,0.846535789434918,NA
"LOC120756231",5.9045220331066,-0.715970450369229,1.83495070362463,-0.390185114485611,0.69639966796972,NA
"LOC120749495",13.8826767181396,2.08266082694889,1.40044004171992,1.48714744287882,0.136975873541791,NA
"LOC120748875",12.5783374587769,2.2208421216065,1.72411037722482,1.28810901607195,0.197708017270837,NA
"RBM18",1466.62817715423,-0.797635612939105,0.564204754177099,-1.41373429953186,0.157439930511166,0.474462052819531
"LOC120760312",9.67593914738799,-1.42389672412109,1.6357605334471,-0.87047993578892,0.384038179403487,NA
"LOC120766065",10.7138877193057,3.10998684279177,1.86803076481389,1.66484776448616,0.0959431317874515,NA
"BUB1B",9.39857734476141,-1.27715148659342,1.31351089218302,-0.972318915811063,0.330891916283042,NA
"GPN2",243.088841397443,-1.96556708079894,0.663009889245137,-2.96461201059432,0.00303064890974208,0.091814293674021
"SFN",42.1913827678815,-0.263811202701234,0.791328046984329,-0.333377799139803,0.738849119313124,0.895591451956799
